Requirement Name,Found in Document,Doc ID,Requirement Section,Requirement Text,Supported by (Activity),Act ID,Grounded By (Requirement),Is Grounding (Requirement),Req ID (is grounding),Applies to (Asset Class),Class ID,Reg Fully Grounded,Req ID,TO REMOVE: Document Name,Class Attributes Note,TO REMOVE 🕝Frequency,TO REMOVE Performed By (Trade),TO REMOVE - URL,Work Comments,Name Text,📕 Source Document
"National Fire Code of Canada 2015, Section: A-6.5.1.5.(1)",,,A-6.5.1.5.(1),"A-6.5.1.5.(1) This can be achieved by replenishment as the result of the routine test program required
by Article 6.5.1.1.",https://www.notion.so/Generator-Fuel-Storage-Tank-Test-Program-574a8c7a4a674f898651ceab9a1dcb48,574a8c7a4a674f898651ceab9a1dcb48,https://www.notion.so/CSA-C282-15-Section-9fbb62aee57d4501a7cb24cbcddfd71b,,,https://www.notion.so/diesel-generator-1f2356ecf8e34f1a81f4bff1c3c3a45b,1f2356ecf8e34f1a81f4bff1c3c3a45b,Yes,228306cc8f48494c915041e62a4479fb,National Fire Code of Canada 2015,,Annually,Contractor,https://publications.gc.ca/collections/collection_2019/cnrc-nrc/NR24-27-2018-eng.pdf,,"National Fire Code of Canada 2015, Section: A-6.5.1.5.(1)",
"CSA B149.6-20, Section: 13.8",,,13.8,"13.8 Drip trap maintenance (continuous-flow type)
13.8.1 A continuous-flow-type drip trap, including associated vent/siphon breaker piping and drain line, shall be kept clean at all times to ensure continuous operation.
13.8.2 A periodic inspection and maintenance schedule shall be established and include the following:
a) ensuring that the water level is at a proper operating height; and
b) checking for continuous flow (trickling) of separated water to drain.","https://www.notion.so/Gaseous-Fuel-Handling-drip-trap-PM-to-Ensure-Continuous-Operation-8f278f66db2e4ef9a69441f3a755623e, https://www.notion.so/Gaseous-Fuel-Handling-drip-trap-Inspection-Frequency-Verification-8bc83648fedc436a9a4afa3bc38d62f8","8f278f66db2e4ef9a69441f3a755623e,8bc83648fedc436a9a4afa3bc38d62f8",,,,https://www.notion.so/drip-trap-53258c3739b64abd9467cb1b73590838,53258c3739b64abd9467cb1b73590838,,afcdf82b83e64d509fdabe6307c517a0,CSA B149.6-20,,,"Assignment Uncertain, See Note, Staff",https://www.csagroup.org/store/product/CSA%25100ANSI%20B149.6%3A20/,"#CannotAccessMissingDetail
SC: I don’t think I entered this. The CSA Standard (2015 version) is accessible on CCOHS. Please refer to sec. 4.3.2 in CSA B149.6-15
Aj July 28: I checked the standards, they are the same. ","CSA B149.6-20, Section: 13.8",
"Ontario Regulation 212/01, Section: 15",,,15,"O.Reg 212
Duty to maintain safe operating condition
15. An owner or user of an appliance, equipment, a work or any other thing employed in the handling or use of gas shall ensure that the appliance, equipment, work or thing employed in the handling or use of gas is maintained in a safe operating condition. O. Reg. 212/01, s. 15

",https://www.notion.so/Gaseous-Fuel-Handling-b3e6d36e85664fb2beb934844fd35f10,b3e6d36e85664fb2beb934844fd35f10,,,,"https://www.notion.so/drip-trap-53258c3739b64abd9467cb1b73590838, https://www.notion.so/gaseous-fuel-handling-equipment-b67f88c1f72c4d94939f7701a64f0065, https://www.notion.so/Defined-fuel-compressor-aa3ee547111a42569e0e3dffb1e761dd","53258c3739b64abd9467cb1b73590838,b67f88c1f72c4d94939f7701a64f0065,aa3ee547111a42569e0e3dffb1e761dd",Maybe,be20f451dbc64a83b3ec256b0e18c9f1,Ontario Regulation 212/01,,"#freqIn{CSA B149.6-20,13.5.1}",Contractor,https://www.ontario.ca/laws/regulation/010212,,"Ontario Regulation 212/01, Section: 15",
"TSSA, 2000 - Ontario Regulation 209/01, Section: 32",https://www.notion.so/TSSA-2000-Ontario-Regulation-209-01-347bbc0f1b244179aca1127df84680b5,347bbc0f1b244179aca1127df84680b5,32,"32. (1) An owner of an elevating device shall ensure that the elevating device is not used or operated unless it is maintained by a registered contractor in accordance with the requirements of this section.
(2) The methods and intervals of maintenance of an elevating device shall be determined by the owner or a contractor on behalf of the owner, on the basis of,
    (a) the inherent quality and age of the device;
    (b) the specifications for maintenance of the manufacturer, manufacturer's agent or of the contractor; and
    (c) the frequency and method of use of the device.
(3) The maintenance of an elevating device shall include,
    (a) an inspection and examination at regular intervals of all parts and functions of the elevating device;
    (b) cleaning, lubricating and adjusting all its parts at regular intervals and repairing or replacing worn or defective components in order to prevent the device from becoming unsafe for operation;
    (c) repairing or replacing damaged or broken parts;
    (d) such other examinations or work as is required by this Regulation, the applicable code or standard referred to in the code adoption document or by an inspector. 
(4) A person who carries out an inspection referred to in clause (3) (a) shall ensure that the elevating device is in a safe operating condition and shall take all steps and reasonable precautions in the circumstances to ensure that the parts and functions will remain in a safe operating condition until the next scheduled inspection and examination. 
(5) Where a part of an elevating device is replaced for any reason, the replacement part shall be at least equivalent to the original part as specified in the design submission or as supplied by the manufacturer of the original part. 
(6) Despite subsections (1) and (3), a person other than a registered contractor may,
    (a) carry out jobs of a housekeeping nature in the load-carrying unit of an elevating device or in the area giving access to it.",https://www.notion.so/Elevator-Maintenance-15a67e6c2ea74d25ad45fea8c012856d,15a67e6c2ea74d25ad45fea8c012856d,"https://www.notion.so/CSA-B44-16-Section-8-6-1-7-2ef1b621bcbf47d6a7eb1f8108c462d8, https://www.notion.so/CSA-B44-16-Section-Table-N-1-1696734b108940f8b72cb2ca5432d896",,,https://www.notion.so/elevator-56c048cdefa947dbba5d327d093dcac0,56c048cdefa947dbba5d327d093dcac0,Maybe,b94ba6d5a1a541d4835848258714052d,Ontario Regulation 209/01,,"As per activity
",Contractor,https://www.ontario.ca/laws/regulation/010209,,"Ontario Regulation 209/01, Section: 32",
"CSA B44-16, Section: 8.6.1.7",https://www.notion.so/CSA-B44-16-24a91f36ce8448a5a2f5f7c7712dc5ef,24a91f36ce8448a5a2f5f7c7712dc5ef,8.6.1.7,"CSA B44-16
8.6.1.7 Periodic Tests. 
The frequency of periodic tests shall be established by the authority having jurisdiction as required by 8.11.1.3.
NOTE: Recommended intervals for periodic tests can be found in Nonmandatory Appendix N.",https://www.notion.so/Elevator-Establish-frequency-d57dd0cabff54ef89ae132ac570419cf,d57dd0cabff54ef89ae132ac570419cf,,"https://www.notion.so/TSSA-2000-Ontario-Regulation-209-01-Section-32-b94ba6d5a1a541d4835848258714052d, https://www.notion.so/TSSA-2000-CAD-277-19-15ba7603efac48179bbbc4fc8abf4b48","b94ba6d5a1a541d4835848258714052d,15ba7603efac48179bbbc4fc8abf4b48",https://www.notion.so/elevator-56c048cdefa947dbba5d327d093dcac0,56c048cdefa947dbba5d327d093dcac0,,2ef1b621bcbf47d6a7eb1f8108c462d8,CSA B44-16,,3 months,Contractor,https://www.csagroup.org/store/product/ASME%20A17.1-2016%25100CSA%20B44-16/,"TH: Could you please OCR the entire Section 6 and insert it into the page of this column?

AJ: Do you mean entire 8.6 section?","CSA B44-16, Section: 8.6.1.7",
"CSA B44-16, Section: Table N-1",https://www.notion.so/CSA-B44-16-24a91f36ce8448a5a2f5f7c7712dc5ef,24a91f36ce8448a5a2f5f7c7712dc5ef,Table N-1,"(2) testing shall be performed at intervals specified in Appendix N, such that;
(a) category 1 tests are performed annually, 
(b) category 3 tests are performed every 3 years and
(c) category 5 tests are performed every 5 years

Note: Please refer to the image in the Requirement Name column",https://www.notion.so/Elevator-Frequency-Requirement-Details-464b0ae464094beda0c766a25a3e348b,464b0ae464094beda0c766a25a3e348b,,https://www.notion.so/TSSA-2000-Ontario-Regulation-209-01-Section-32-b94ba6d5a1a541d4835848258714052d,b94ba6d5a1a541d4835848258714052d,https://www.notion.so/elevator-56c048cdefa947dbba5d327d093dcac0,56c048cdefa947dbba5d327d093dcac0,,1696734b108940f8b72cb2ca5432d896,CSA B44-16,,N/A,Contractor,https://www.csagroup.org/store/product/ASME%20A17.1-2016%25100CSA%20B44-16/,,"CSA B44-16, Section: Table N-1",
"Ontario Regulation 209/01, Section: 34
",https://www.notion.so/TSSA-2000-Ontario-Regulation-209-01-347bbc0f1b244179aca1127df84680b5,347bbc0f1b244179aca1127df84680b5,"34
","34. (1) Every owner of an elevating device and every contractor shall maintain a logbook for each elevating device that they own or maintain, and the logbook shall contain up-to-date data on,
    (a) all maintenance functions required to be recorded in the logbook by the applicable code, standard or requirement referred to in the code adoption document or any applicable director's order; and
    (b) such other data as are required to be kept in the logbook by this Regulation.  
(2) The logbook shall be kept for a period of at least five years from the date of the last entry in the logbook.  
(3) The logbook data shall be readily available at the location of the elevating device to an inspector, maintenance mechanic and other persons designated by the owner. 
",https://www.notion.so/Elevator-Logbook-6279c061bd2f410c9cff3f2556e220b2,6279c061bd2f410c9cff3f2556e220b2,https://www.notion.so/CSA-B44-16-Section-8-6-1-4-1-86a3b3f803c24f45a971b637f950688f,,,https://www.notion.so/elevator-56c048cdefa947dbba5d327d093dcac0,56c048cdefa947dbba5d327d093dcac0,Yes,5c91241ae7c2452cac8a9c5158671935,Ontario Regulation 209/01,,after each maintenance event,Contractor,https://www.ontario.ca/laws/regulation/010209,,"Ontario Regulation 209/01, Section: 34
",
"CSA B44-16, Section: 8.6.1.4.1",https://www.notion.so/CSA-B44-16-24a91f36ce8448a5a2f5f7c7712dc5ef,24a91f36ce8448a5a2f5f7c7712dc5ef,8.6.1.4.1,"8.6.1.4.1 On-Site Maintenance Records
(a) Maintenance Control Program Records
(1) A record that shall include the maintenance tasks listed with the associated requirements of Section 8.6 identified in the Maintenance Control Program (8.6.1.2.1), other tests (see 8.6.1.2.2), examinations and adjustments, and the specified scheduled intervals shall be maintained.
(2) The specified scheduled maintenance intervals (see Section 1.3) shall, as applicable, be based on the criteria given in 8.6.1.2.1(e).
(3) MCP records shall be viewable on-site by elevator personnel in either hard copy or electronic format acceptable to the authority having jurisdiction and shall include, but are not limited to, the following: (a) site name and address (b) service provider name (c) conveyance identification (I.D.) and type
(4) date of record (e) a description of the maintenance task, interval, and associated requirements of Section 8.6 (f) indication of completion of maintenance task",https://www.notion.so/Elevator-Logbook-6279c061bd2f410c9cff3f2556e220b2,6279c061bd2f410c9cff3f2556e220b2,,"https://www.notion.so/Ontario-Regulation-209-01-Section-34-5c91241ae7c2452cac8a9c5158671935, https://www.notion.so/TSSA-2000-CAD-277-19-8-6-1-4-1-e572d4a30148405d8e2ffeed63041bab","5c91241ae7c2452cac8a9c5158671935,e572d4a30148405d8e2ffeed63041bab",https://www.notion.so/elevator-56c048cdefa947dbba5d327d093dcac0,56c048cdefa947dbba5d327d093dcac0,,86a3b3f803c24f45a971b637f950688f,CSA B44-16,,after each maintenance event,Contractor,https://www.csagroup.org/store/product/ASME%20A17.1-2016%25100CSA%20B44-16/,,"CSA B44-16, Section: 8.6.1.4.1",
"TSSA, 2000 - CAD-277-19, Section 2.9",https://www.notion.so/TSSA-2000-CAD-277-19-cf753607aed44d0c880d6a5bfd7c1185,cf753607aed44d0c880d6a5bfd7c1185,2.9,"2.9 Hydraulic Elevating Device Oil Loss Monitoring Program
2.9.1 Every contractor who maintains a hydraulic elevating device with buried cylinders or buried piping shall ensure there is a written oil loss monitoring program.
2.9.2 A “hydraulic elevating device” means a non-portable device for hoisting and lowering or moving persons or freight and includes an elevator, dumbwaiter, manlift, incline lift, construction hoist, stage lift, platform lift and special elevating device that incorporates one or more hydraulic cylinders.
2.9.3 The purpose of the oil loss monitoring program is to identify any loss of oil which cannot be accounted for in the hydraulic system.
2.9.4 If a contractor performs maintenance on a hydraulic elevating device with buried cylinders or buried piping, the contractor shall ensure that a written oil loss monitoring program is developed and maintained before the contractor performs work on the hydraulic elevating device.
2.9.5 The oil loss monitoring program shall include:
    (a) the requirement to provide an oil loss monitoring log (“OLM log”) for each hydraulic elevating device with buried cylinders or buried piping;
    (b) the requirement for the OLM log to reference the elevating device installation number;
    (c) the requirement to establish a fixed reference level for the oil and the requirement to mark the reference level on the tank, dip stick or other suitable location via permanent means;
Note: “permanent” implies affixed in such a manner so as to not be easily removed or repositioned.
    (d) the requirement to document in the OLM log the location of the mark for the fixed reference level;
    (e) the requirement to check that the oil level is at the established reference point when the device is level with the lowest landing during each scheduled maintenance visit;
    (f) if the fixed reference level needs to be intentionally adjusted, the requirement to document and record the changes to the established reference level and reason for establishing the new reference level;
    (g) the requirement to record in the OLM log any quantity of oil added or removed from the hydraulic system;
    (h) that during each maintenance visit, even if no oil is added, the requirement to record in the OLM log the oil level and the date of the scheduled maintenance visit;
    (i) if oil is added or removed, the requirement to record in the OLM log the dates oil was added or removed from the hydraulic system;
    (j) the requirement to record in the OLM log the reason oil was added to or removed from the hydraulic system;
    (k) the requirement to record in the OLM log the mechanic’s printed and legible name, signature and certification number for every entry made;
    (l) the requirement to keep the OLM log in the elevator machine room, in a readily identifiable location;
    (m) the requirement that the OLM log be kept in the elevator machine room for a period of at least five years from the date of the last entry in the OLM log;
    (n) the requirement to never allow oil levels to exceed the fixed reference level for the oil level;
    (o) the requirement to record in the OLM log the frequency of oil monitoring activities;
    (p) if there is any oil loss which cannot be accounted for, the requirement to immediately remove a hydraulic elevating device from service until the cause for the oil loss is determined and the cause and associated remedy noted in the OLM log;
   (q) the requirement to report in writing any oil loss attributed to leaks in buried cylinders or buried piping to the TSSA Elevating Devices Director within 7 days;
    (r) the requirement to provide maintenance personnel adequate training related to the contractor’s oil loss monitoring program;
    (s) the requirement to maintain up-to-date written records showing who provided and who received the training referred to in (r), the nature of the training and the date when it was provided. A record of training shall be available to the TSSA upon request.
    (t) the requirement that the contractor’s oil loss monitoring program be posted or otherwise available in the machine room, and (u) the requirement that the collection containers shall not exceed 19 L (5 gal) per cylinder.
2.9.6 Oil that is returned to the hydraulic system from recovery containers, either by manual means or automatically via scavenger pumps, need not be recorded.
Note 1: if oil from recovery containers is not suitable for return to the tank, it must be measured, and an equivalent amount must be added to the system when recovery containers are emptied. If additional oil is needed to reach the fixed reference level, it must be recorded as new oil.
Note 2: As of May 1, 2015 every hydraulic elevating device (including elevators, dumbwaiters, manlifts, incline lifts, construction hoists, stage lifts, platform lifts and special elevating devices) required mitigation (replacement or other means) to protect against single bottom cylinder failures. Where single bottom cylinders continue to exist with supplemental hazard mitigation, or where buried piping remains, the Oil Loss Monitoring requirements of 2.9 apply.",https://www.notion.so/Elevator-Maintenance-15a67e6c2ea74d25ad45fea8c012856d,15a67e6c2ea74d25ad45fea8c012856d,,,,,,,0fcfb4893c9742ba8d20b5dcc11df64c,,,At every maintenance visit,,,,", Section: 2.9",
"CSA Z259.17-16, Section: 12.3",,,12.3,"12.3
Employers shall ensure a competent person performs an annual documented inspection of all fall-protection equipment and systems. More frequent inspections might be required if specified by the manufacturer or the design engineer. The intervals specified in Table 5 for each item shall apply in the absence of such recommendations. Equipment used under harsh conditions or higher frequency of use shall be inspected more frequently than specified in Table 5.
","https://www.notion.so/Fall-Protection-5d0aa5f210d64ba19afed46f78623216, https://www.notion.so/Fall-Protection-Equipment-Inspection-f0b2a4283ab74aa1936e62d88a69e96e","5d0aa5f210d64ba19afed46f78623216,f0b2a4283ab74aa1936e62d88a69e96e",,,,https://www.notion.so/fall-protection-equipment-28ad3a88878f4625a6b5b3c99a20071e,28ad3a88878f4625a6b5b3c99a20071e,,14d6f815a6cd460ea846f777636288d0,CSA Z259.17-16,,Annually,Contractor,https://www.csagroup.org/store/product/Z259.17-16/,,"CSA Z259.17-16, Section: 12.3",
"CSA Z259.17-16, Section: Table 5",,,Table 5,Please refer to the image in the “requirement name” column. ,https://www.notion.so/Fall-Protection-Frequency-Details-0f02c406b7ab4e129ec3be1af272e18d,0f02c406b7ab4e129ec3be1af272e18d,,,,https://www.notion.so/fall-protection-equipment-28ad3a88878f4625a6b5b3c99a20071e,28ad3a88878f4625a6b5b3c99a20071e,,08b86a4d13da42c89a4250e960a57e27,CSA Z259.17-16,,As per Activity,"Contractor, See Note",https://www.csagroup.org/store/product/Z259.17-16/,,"CSA Z259.17-16, Section: Table 5",
"CSA Z259.17-16, Section: 12.7",,,12.7,"12.7
A record shall be created for each active fall-protection equipment and system. The record shall include the following:
a) the details specified in Table 6
b) Documentation on the maintenance and servicing history of all equipment, which shall be readily available until the equipment is permanently removed from service.","https://www.notion.so/Fall-Protection-Log-Book-577fbb4119b842b9b0fe42d162728526, https://www.notion.so/Fall-Protection-Equipment-Inspection-f0b2a4283ab74aa1936e62d88a69e96e","577fbb4119b842b9b0fe42d162728526,f0b2a4283ab74aa1936e62d88a69e96e",,,,https://www.notion.so/fall-protection-equipment-28ad3a88878f4625a6b5b3c99a20071e,28ad3a88878f4625a6b5b3c99a20071e,,0907b7f59e3e4ccaa1dff3b06c237ccf,CSA Z259.17-16,,Annually,"Contractor, See Note",https://www.csagroup.org/store/product/Z259.17-16/,,"CSA Z259.17-16, Section: 12.7",
"CSA Z259.17-16, Section: Table 6",,,Table 6,Please refer to the image in the “requirement name” column. ,https://www.notion.so/Fall-Protection-Log-Book-Requirement-Details-43d325321fc24739a77f9d74d97324db,43d325321fc24739a77f9d74d97324db,,,,https://www.notion.so/fall-protection-equipment-28ad3a88878f4625a6b5b3c99a20071e,28ad3a88878f4625a6b5b3c99a20071e,,dc0b233501bf4e0b83d1ed23d45886c4,CSA Z259.17-16,,N/A,Contractor,https://www.csagroup.org/store/product/Z259.17-16/,,"CSA Z259.17-16, Section: Table 6",
"Ontario Regulation 1101/90, Section: 8. (1)",,,8. (1),"O. Reg 1101
Every employer employing not more than five workers in any one shift at a place of employment shall provide and maintain at the place of employment a first aid station with a first aid box containing as a minimum,
(a) a current edition of a standard St. John Ambulance First Aid Manual;
(b) 1 card of safety pins; and
(c) dressings consisting of,
(i) 12 adhesive dressings individually wrapped,
(ii) 4 sterile gauze pads, 3 inches square,
(iii) 2 rolls of gauze bandage, 2 inches wide,
(iv) 2 field dressings, 4 inches square or 2 four-inch sterile bandage compresses, and
(v) 1 triangular bandage. R.R.O. 1990, Reg. 1101, s. 8 (1).
",https://www.notion.so/SP-36A-First-Aid-Station-Inspection-for-Less-Than-5-Workers-3198c5403d3047e0bfebe1514f26f280,3198c5403d3047e0bfebe1514f26f280,,https://www.notion.so/Ontario-Regulation-1101-90-Section-1-6-89973628b42748b7b057a3ddb73a22e1,89973628b42748b7b057a3ddb73a22e1,https://www.notion.so/first-aid-station-2e24f653fb404291ad14e0fb3aad5ca7,2e24f653fb404291ad14e0fb3aad5ca7,Yes,25663e0e58ef478893663346fd6b9a53,Ontario Regulation 1101/90,,"Quarterly
#freqIn{O.Reg 1101/90, 1.6}",Staff,https://www.ontario.ca/laws/regulation/901101,,"Ontario Regulation 1101/90, Section: 8. (1)",
"Ontario Regulation 1101/90, Section: 1.6 ",,,1.6,"1.6.
Employers shall inspect first aid boxes and their contents at not less than quarter-yearly intervals and shall mark the inspection card for each box with the date of the most recent inspection and the signature of the person making the inspection.  R.R.O. 1990, Reg. 1101, s. 6.",https://www.notion.so/First-Aid-Station-c8053578c4e34845998a2ff4ab6ee7d6,c8053578c4e34845998a2ff4ab6ee7d6,https://www.notion.so/Ontario-Regulation-1101-90-Section-8-1-25663e0e58ef478893663346fd6b9a53,,,https://www.notion.so/first-aid-station-2e24f653fb404291ad14e0fb3aad5ca7,2e24f653fb404291ad14e0fb3aad5ca7,Yes,89973628b42748b7b057a3ddb73a22e1,Ontario Regulation 1101/90,,Quarterly,Staff,https://www.ontario.ca/laws/regulation/901101,"No Procedure required, because the OReg that is grounding the Std has an activity. ","Ontario Regulation 1101/90, Section: 1.6 ",
"Ontario Regulation 1101/90, Section: 9. (1)",,,9. (1),"O. Reg 1101
Every employer employing more than five workers and not more than fifteen workers in any one shift at a place of employment shall provide and maintain a first aid station with a first aid box containing as a minimum,
(a) a current edition of a standard St. John Ambulance First Aid Manual;
(b) 1 card of safety pins; and
(c) dressings consisting of,
(i) 24 adhesive dressings individually wrapped,
(ii) 12 sterile gauze pads, 3 inches square,
(iii) 4 rolls of 2-inch gauze bandage,
(iv) 4 rolls of 4-inch gauze bandage,
(v) 4 sterile surgical pads suitable for pressure dressings, individually wrapped,
(vi) 6 triangular bandages,
(vii) 2 rolls of splint padding, and
(viii) 1 roll-up splint. R.R.O. 1990, Reg. 1101, s. 9 (1).
",https://www.notion.so/SP-36B-First-Aid-Station-Inspection-for-more-than-5-less-than-15-Workers-b2e331c8945d4cd48eec90d5227752f2,b2e331c8945d4cd48eec90d5227752f2,,,,https://www.notion.so/first-aid-station-2e24f653fb404291ad14e0fb3aad5ca7,2e24f653fb404291ad14e0fb3aad5ca7,Yes,aeb40f0f4f8349de998c65c3063f533e,Ontario Regulation 1101/90,,"Quarterly
#freqIn{O.Reg 1101/90, 1.6}",Staff,https://www.ontario.ca/laws/regulation/901101,,"Ontario Regulation 1101/90, Section: 9. (1)",
"Ontario Regulation 1101/90, Section: 10. (1)",,,10. (1),"O. Reg 1101
Every employer employing more than fifteen and fewer than 200 workers in any one shift at a place of employment shall provide and maintain at the place of employment one stretcher, two blankets and a first aid station with a first aid box containing as a minimum,
(a) a current edition of a standard St. John Ambulance First Aid Manual;
(b) 24 safety pins;
(c) 1 basin, preferably stainless steel; and
(d) dressings consisting of,
(i) 48 adhesive dressings, individually wrapped,
(ii) 2 rolls of adhesive tape, 1 inch wide,
(iii) 12 rolls of 1-inch gauze bandage,
(iv) 48 sterile gauze pads, 3 inches square,
(v) 8 rolls of 2-inch gauze bandage,
(vi) 8 rolls of 4-inch gauze bandage,
(vii) 6 sterile surgical pads suitable for pressure dressings, individually wrapped,
(viii) 12 triangular bandages,
(ix) splints of assorted sizes, and
(x) 2 rolls of splint padding. R.R.O. 1990, Reg. 1101, s. 10 (1).
",https://www.notion.so/SP-36C-First-Aid-Station-Inspection-for-more-than-15-less-than-200-Workers-bff4e08246874ff0bf47458196957d63,bff4e08246874ff0bf47458196957d63,,,,https://www.notion.so/first-aid-station-2e24f653fb404291ad14e0fb3aad5ca7,2e24f653fb404291ad14e0fb3aad5ca7,Yes,0fa95f0c248b402699562145528403c3,Ontario Regulation 1101/90,,"Quarterly
#freqIn{O.Reg 1101/90, 1.6}",Staff,https://www.ontario.ca/laws/regulation/901101,,"Ontario Regulation 1101/90, Section: 10. (1)",
"Ontario Regulation 1101/90, Section: 11. (1)",,,11. (1),"O. Reg 1101
Every employer employing 200 or more workers in any one shift at a place of employment shall provide and maintain a first aid room equipped with,
(a) a current edition of a standard St. John Ambulance First Aid Manual;
(b) instruments consisting of,
(i) dressing scissors,
(ii) dressing forceps,
(iii) safety pins,
(iv) graduated medicine glass,
(v) tongue depressors, and
(vi) applicators, cotton tipped;
(c) denatured ethyl alcohol;
(d) dressings consisting of,
(i) adhesive dressings, individually wrapped,
(ii) sterile gauze pads of assorted sizes, individually wrapped,
(iii) gauze bandages of assorted sizes,
(iv) adhesive plaster,
(v) absorbent cotton,
(vi) triangular bandages,
(vii) splints of assorted sizes, and
(viii) splint padding; and
(e) furnishings consisting of,
(i) hot and cold running water,
(ii) 3 washbasins, preferably stainless steel,
(iii) 1 instrument sterilizer,
(iv) 1 cabinet for surgical dressings,
(v) 1 enamel foot bath,
(vi) 1 sanitary disposal receptacle with lid,
(vii) 1 first aid box containing as a minimum the items required by subsection 9 (1), for use by the attendant at the scene of an accident before the patient is moved to the first aid room or general hospital,
(viii) 1 couch curtained off or in a separate cubicle,
(ix) 1 stretcher, and
(x) 2 blankets. R.R.O. 1990, Reg. 1101, s. 11 (1).
",https://www.notion.so/SP-36D-First-Aid-Station-Inspection-for-more-than-200-Workers-5c5f580476d84fc4a92315ad1fad3094,5c5f580476d84fc4a92315ad1fad3094,,,,https://www.notion.so/first-aid-station-2e24f653fb404291ad14e0fb3aad5ca7,2e24f653fb404291ad14e0fb3aad5ca7,Yes,7b1377aea6274ba7a85543a0b43752d2,Ontario Regulation 1101/90,,"Quarterly
#freqIn{O.Reg 1101/90, 1.6}",Staff,https://www.ontario.ca/laws/regulation/901101,"In case where the frequency has been mentioned in the exact requirement section, but somewhere in the document.- does that needs to be sited/in another row?   Solution: Place the frequency in the same row adding another “-” (point).","Ontario Regulation 1101/90, Section: 11. (1)",
"Ontario Regulation 1101/90, Section: 1.  (1)
1.6 ( Frequency)",,,"1.  (1)
1.6 ( Frequency)"," A first aid station shall contain,
(a) a first aid box containing the items required by this Regulation; and
(b) a notice board displaying,
(i) the Board�s poster known as Form 82,
(ii) the valid first aid certificates of qualification of the trained workers on duty, and
(iii) an inspection card with spaces for recording the date of the most recent inspection of the first aid box and the signature of the person making the inspection
","https://www.notion.so/SP-36A-First-Aid-Station-Inspection-for-Less-Than-5-Workers-3198c5403d3047e0bfebe1514f26f280, https://www.notion.so/SP-36B-First-Aid-Station-Inspection-for-more-than-5-less-than-15-Workers-b2e331c8945d4cd48eec90d5227752f2, https://www.notion.so/SP-36C-First-Aid-Station-Inspection-for-more-than-15-less-than-200-Workers-bff4e08246874ff0bf47458196957d63, https://www.notion.so/SP-36D-First-Aid-Station-Inspection-for-more-than-200-Workers-5c5f580476d84fc4a92315ad1fad3094","3198c5403d3047e0bfebe1514f26f280,b2e331c8945d4cd48eec90d5227752f2,bff4e08246874ff0bf47458196957d63,5c5f580476d84fc4a92315ad1fad3094",,,,https://www.notion.so/first-aid-station-2e24f653fb404291ad14e0fb3aad5ca7,2e24f653fb404291ad14e0fb3aad5ca7,Yes,6dd3cb8ae09d4583a56b6170a1914b5b,Ontario Regulation 1101/90,,"Quarterly
#freqIn{O.Reg 1101/90, 1.6}",Staff,https://www.ontario.ca/laws/regulation/901101 ,,"Ontario Regulation 1101/90, Section: 1.  (1)
1.6 ( Frequency)",
"Ontario Regulation 1101/90, Section: ",,,,(i) the Boards poster known as Form 82,"https://www.notion.so/SP-36A-First-Aid-Station-Inspection-for-Less-Than-5-Workers-3198c5403d3047e0bfebe1514f26f280, https://www.notion.so/SP-36B-First-Aid-Station-Inspection-for-more-than-5-less-than-15-Workers-b2e331c8945d4cd48eec90d5227752f2, https://www.notion.so/SP-36C-First-Aid-Station-Inspection-for-more-than-15-less-than-200-Workers-bff4e08246874ff0bf47458196957d63, https://www.notion.so/SP-36D-First-Aid-Station-Inspection-for-more-than-200-Workers-5c5f580476d84fc4a92315ad1fad3094","3198c5403d3047e0bfebe1514f26f280,b2e331c8945d4cd48eec90d5227752f2,bff4e08246874ff0bf47458196957d63,5c5f580476d84fc4a92315ad1fad3094",,,,https://www.notion.so/first-aid-station-2e24f653fb404291ad14e0fb3aad5ca7,2e24f653fb404291ad14e0fb3aad5ca7,Yes,373448acde82425e8cd6bc0e46e39fb4,Ontario Regulation 1101/90,,N/A,Staff,https://www.wsib.ca/en/case-injury-poster-form-82,,"Ontario Regulation 1101/90, Section: ",
