ID,Activity Name (TO CHANGE TO ACTIVITY CODE),Failure Mode,Activity Description,Freq Numeral,Freq Literal,Note on Trigger Condition,Activity Type,Activity Procedure Recommended Action,Trade,Wrench Time (H),Asset Offline?,Resources,Applies to Class,Applies to Product-Line,📊 Satisfies (Requirement),Comments,More General Activity Parent,More Specific Activity Child
activity_44,"Generator: Engine, Test Coolant Heater",,Test coolant heaters for proper operation.,1,Week,,Test,"NOTE: applies to outdoor generators equipped with a coolant/crankcase/block heater (typically a cylindrical device). Applies only when the ambient temperature is below 15 C*.
1) Verify that the coolant heater hoses are warm to touch.
2) Check the coolant temperature, verify the temperature is above 15 degC.",Ind Mill,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_45,"Generator: Engine, Inspect Linkages",,Inspect governor control linkages (if applicable).,1,Week,,Inspect,"NOTE: applicable to engines equipped with a mechanical governor
1) Visually inspect for excessive dust pollution in the linkage between the governor, throttle, and injection pump.
2) Visually inspect for any tackiness of grease at all pins and joints.
3) If an issue is discovered, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.   ",Ind Mill,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_46,Generator: Engine4 Check oil level,,Check governor oil level.,1,Week,,Check,"SAFETY WARNING: the oil may be hot after a load test, take all PPE precautions to avoid skin burn.
1) If applicable, check the governor oil level using a dipstick. 
[ If the generator is running turn off the generator, and let it sit idle for 4 minutes to let the oil settle.]
2. Top up the oil if necessary.
NOTE: use the machine oil type specified by the governor OEM",Ind Mill,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_47,"Generator: Engine, Inspect Fuel Pump Oil",,Inspect fuel pump oil sump (if applicable).,1,Week,,Inspect,"1) Inspect the sump for the signs of leakage.
2) Inspect the sump for dust, debris, or damages.
3) Inspect the sump for signs of corrosion.
4) If an issue is discovered, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.    

",Ind Mill,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_48,"Generator: Engine, Inspect Fan",,Inspect fan belts for correct tension and wear.,1,Week,,Inspect,"1. Inspect the fan belt for oil contamination, cracks, wear, and heat degradation.
2. Inspect the fan belt for signs of looseness and slacking.
3) If an issue is discovered, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.    
",Ind Mill,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_49,"Generator: Control Panel, Inspect Control Panel",,Inspect control panel cover for security.,1,Week,,Inspect,"1) Visually inspect the control panel cover for proper closure without gaps.
2) Check no tightening hardware is missing. 
3) If an issue is discovered, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair. ",EICT,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_50,"Generator: Control Panel, Test Annunciator Panel",,Test annunciator lamps to confirm that they are operational. ,1,Week,,Test,"1) If a test button is present, press the test-lights button on the control or annunciator panel to ensure all panel lights are functional.
2) If the test fails, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair. ",EICT,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_51,"Generator: Control Panel, Inspect Control Panel Setting",,Inspect control panel settings (ensure that the unit is ready for automatic start-up).G,1,Week,,Inspect,"1) Use the manufacturer manual to access the control panel settings.
2) Verify the control panel setting that unit is set on ""Auto"" mode. 
3) If the unit is NOT on ""Auto"" mode, use the user manual to change the settings to ""Auto"" mode.",EICT,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_52,"Generator: Control Panel, Test Trouble Signals",,Test remote visual and audible trouble signals at the building fire alarm panel.,1,Week,,Test,"1) Ensure you have operational approval before performing this task. 
2) Activate alarm by pressing test alarm button, audible sound should be heard 
3) Deactivate by pressing the test alarm button, audible sound should stop 
4) If the alarm failed to activate, ""create a work request with “Repair from Predictive"" work type to repair the generating unit audible trouble signals alarm.",Ind Mill,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_53,"Generator: Control Panel, Inspect Louvre",,Inspect air control louvre settings to ensure proper operation.,1,Week,,Inspect,"1) Inspect for debris and obstructions that would hinder the free movement of the louvres.
2) Inspect the louvre actuator linkages are lubricated and free from excessive pollution.
3) If an issue is discovered, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair. 
NOTE: use the recommended lubrication type specified by the OEM; Never use penetrating oil such or WD-40 as a lubricant.

",Ind Mill,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_54,"Generator: Control Panel, Test Emergency Light",,Test emergency lighting unit(s).,1,Week,,Test,"1) Verify that the emergency lighting found in the generator enclosure or room would turn on by actuating its test switch.
2) If the test fails, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair. 
",Ind Mill,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_55,"Generator: Control Panel, Verify Room Temperature",,Verify whether the room temperature is above 10C.,1,Week,,Check,"1) Upon first opening the panel, verify the air temperature inside is higher than 10 degC with a thermometer gun.
2) If the temperature is lower, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair. 
",Ind Mill,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_56,"Generator: Control Panel, Inspect for Cleanliness",,Inspect generator and transfer switch room(s) for cleanliness and accessibility to all components of the emergency system.,1,Week,,Inspect,"1) Visually inspect the ATS room indoor/outdoor for signs of improper material storage, combustible materials, dust, and dirt accumulation.
2) Inspect the accessibility to all components of the emergency system.
3) Take care to limit the dust, clean and remove materials as required.
4) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.15,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_57,"Generator: Control Panel, Fix the Defects",,Correct all defects found during inspections and tests.,1,Week,,Service,"If corrective action/repair is required related to the proper operation of the generator and its parts, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",,,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_58,"Generator: Control Panel, PM Data Recording",,"Record all inspections, tests, and corrective actions in the log (see Clause 11.5.3).",1,Week,,Record,"Record all inspections, tests, and corrective actions in the log. If log is missing, contact the supervisor to find out the missing information & complete the log. ",Ind Mill,0.25,,,,,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,,,
activity_59,Generator: Simulate a Failure,,Simulate a failure of the normal electrical supply to the building.,1,Month,,Test,"NOTE: applicable only if the process load is used OR if the load-bank is connected to the emergency side of the ATS switch.
1) Ensure that the generator control on the generator panel is set to AUTO.
2) Simulate a power failure using the source failure test control on the ATS. - Alternatively, if the source failure test control is not available on the ATS, simulate an actual power failure by opening the utility breaker that is upstream of the Emergency Bus/MCC
3) Ensure that the generator starts without issue and the correct ATS switching sequence occurs.
4) Perform any planned plant load test by starting major plant loads
5) Perform any planned IR inspection on the Emergency Side of the ATS.
6) Restore the utility power and ensure that the correct ATS switching sequence, generator cool-down, and shutdown occurs after the expected delays.
7) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",EICT,,,,,,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,Uncertain. Will be left as is  for now. ,,
activity_60,Generator: Load Test 30%,,Operate the system under at least 30% of the rated load for 60 min.,1,Month,,Test,"NOTE: if test load is used, verify that the generator is protected by an inline over-current breaker with the ground trip before proceeding.
1) Start the generator and wait for full speed.
2) Set the load bank to add load in increments of 10-15% of full load every 15 seconds until about 30% is reached. If plant load is used instead, switch on the large motor loads on a 15-second interval until about 30% is reached.
3) One member of the crew is to observe the following parameters in real-time while the load steps are added:
- generator voltage never dips below 0.8 p.u. at any moment; recovers to above 0.9 p.u. while any large motor load accelerates and reaches 1 p.u. when the motor is running (within 5 seconds).
- generator frequency never deviates more than +/- 1 Hz.
4) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.
",EICT,,No,,,,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,,,
activity_61,Generator: Operate Transfer Switch,,Operate all transfer switches under load,1,Month,,Test,"1) Ensure you have operational approval before performing this task. 
2) Follow Lock-out and Tag-out SWP-003 before starting this task. 
3) Simulate a power failure and ensure that the generator starts and supplies electrical power. 
4) Run the generator, with a minimum of 30% of the generator's full load, for 1 hour.
5) If the transfer switches fail to operate as intended, corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.
",EICT,,,,,,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,,,
activity_62,Generator: Inspect Brush Operation,,Inspect brush operation for sparking.,1,Month,,Inspect,"1) Ensure you have operational approval before performing this task. 
2) Follow Lock-out and Tag-out SWP-003 before starting this task. 
3) Inspect the sparking near the brush by turning on the motor. 
4) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",EICT,,,,,,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,,,
activity_63,Generator: Inspect Bearing Seal,,Inspect for bearing seal leakage,1,Month,,Inspect,"1) Inspect for any sign of oil bleed from the grease in the large bearings. 
2)  If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,,,,,,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,,,
activity_64,Generator: Check Operations,,"Inspect for the correct operation of all auxiliary equipment, e.g.m radiator shutter control, coolant pumps, fuel transfer pumps, oil coolers, and engine room ventilation system(s).",1,Month,,Inspect,"1) Allow the engine to run for 20 minutes under load
2) Check the intake louvre has opened
3) If applicable, radiator shutter has actuated to the open position
4) If applicable, any generator room ventilation fans have been turned on and louvres opened.
5) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.

",Ind Mill,,,,,,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,,,
activity_65,Generator PM Data Record,,Record the readings for all instruments in the log (see. Clause 11.5.3) and verify that they are normal.,1,Month,,Record,"1) Start record the following data, if available from the Genset, near the end of the 60-minute run:
- phase voltages
- frequency
- phase currents
- coolant temperature
- coolant pressure
- engine oil pressure
- fuel injection pressure
- exhaust gas backpressure
- exhaust gas temperature
- total running hours
",PT,,,,,,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,,,
activity_66,Generator: Drain Exhaust System,,Drain the exhaust system condensate trap.,1,Month,,Service,"SAFETY WARNING: the condensate may be hot after a load test, take all PPE precautions to avoid skin burn.
1) If applicable, perform this activity 15 minutes after the engine cools down.
2) Slowly and gradually open the drain nipple and drain the condensate trap completely.
",PT,,,,,,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,,,
activity_67,Generator: Inspect Block Heater,,Inspect block heater hoses and wires.,1,Month,,Inspect,"1) Ensure you have operational approval before performing this task. 
2) Follow Lock-out and Tag-out before starting this task 
3) Tactile inspection of engine block heater by physically touch the heater hose to see if there is any heat in the cooling system. 
4) If the block heater has failed, initiate an immediate repair to repair the block heater and capture the repair information in a WMS work order with “Repair from Predictive” work type.",Ind Mill,,,,,,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,,,
activity_68,Generator: Fix the Defects,,Correct all defects found during inspections and tests.,1,Month,,Service,"During all of the above tests and inspections if corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,,,,,,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,,,
activity_69,Generator: PM Data Record,,"Record all inspections, tests, and corrective actions in the log (see Clause 11.5.3).",1,Month,,Record,"1) A permanent log of the maintenance work (including inspections and tests) shall be maintained in
accordance with the manufacturer’s manual of operating and maintenance instructions (see Clause
11.5.1). The permanent log shall be kept on-site and shall include at least the following:
a) the date on which the work was done;
b) a note of parts replaced;
c) a note of any unsatisfactory condition discovered, and the steps are taken to correct it; Committee
Member's Copy Only. Distribution Prohibited. CSA C282:19 Emergency electrical power supply for
buildings
d) the name of the person who performed the work; and
e) a note verifying that any switches or controls that were deactivated for safety purposes during
maintenance have been restored to their intended operating condition. Note: A permanent logbook
meeting all of the requirements of this Standard is available from CSA (C282 Logbook).",PT,,,,,,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,,,
activity_70,Generator,,"All items in weekly, monthly and",6,Month,,Inspect,,Contractor,,ASPOM decides,,,,,,,
activity_71,Generator,, Inspect and clean engine chrankcase breathers.,6,Month,,Inspect,,Contractor,,ASPOM decides,,,,,,,
activity_72,Generator,, Inspect and clean all engine linkages.,6,Month,,Inspect,,Contractor,,ASPOM decides,,,,,,,
activity_73,Generator,, Lubricate the engine governor and ventilation system.,6,Month,,Service,,Contractor,,ASPOM decides,,,,,,,
activity_74,Generator,, Test protective devices for proper operation.,6,Month,,Test,,Contractor,,ASPOM decides,,,,,,,
activity_75,Generator,," Before start-up, perform two full cranking cycles (as specified in Clauses 10.4.1 and 10.4.2). Near the end of each cycle (and while still cranking), measure and record the lowest indicated battery voltage. If the measured voltage is less than 80% of the battery's rated voltage, replace the battery. Alternatively, perform a battery load test using a suitable load tester.",6,Month,,Test,,Contractor,,ASPOM decides,,,,,,,
activity_76,Generator,,Inspect ventilation system belt(s).,6,Month,,Inspect,,Contractor,,ASPOM decides,,,,,,,
activity_77,Generator,,Correct defects found during inspections and tests.,6,Month,,Service,,Contractor,,ASPOM decides,,,,,,,
activity_78,Generator,,"Record all inspections, test, and corrective actions in the log (see Clause 11.5.3).",6,Month,,Record,,Contractor,,,,,,,,,
activity_79,Generator,,"All items in weekly, monthly, 6 months and,",1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_80,Generator,,Control Panel (See Clause B.23),1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_81,Generator,,Open all inspection covers and inspect all electrical connections.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_82,Generator,,Test breakers for proper operation.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_83,Generator,,Clean insulators and bushings.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_84,Generator,,Test voltage regulator for proper operation.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_85,Generator,,Operate all moving parts to ensure that they move freely.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_86,Generator,,Clean and dress contacts as necessary.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_87,Generator,,Remove all dust.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_88,Generator,,Check gauge calibration.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_89,Generator,,"With the generator set operating at full load (see Clause 11.3), conduct an infrared survey of all electrical connections to identify any high-resistance connections.",1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_90,Generator,," For off-site fueled generators, turn position-indicating gas vall to off-position to ensure valve rotates properly and that the audible alarm on generator control panel activiated.",1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_91,Generator,,Engine:,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_92,Generator,,Change engine lubrication oil and filters.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_93,Generator,,Test strength of coolant and chemical protection level of coolant inhibitors.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_94,Generator,,"Change fuel filters, clean strainer(s), and verify that the fuel supply valve is open.",1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_95,Generator,,"Inspect the exhaust system. Check and record the back pressure of the exhaust system to ensure that it complies with the engine manufacturers requirements, and compare with previous reading.",1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_96,Generator,,Clean and lubricate linkages.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_97,Generator,,Inspect air filters.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_98,Generator,,Inspect all mechanical connections.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_99,Generator,, Inspect all electrical connections.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_100,Generator,,inspect all external surfaces of heat exchanger(s) and clean as necessary,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_101,Generator,,Inspect all belts and hoses and replace all necessary.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_102,Generator,,Test and inspect ignition system(s). Replace any defective components.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_103,Generator,,"Inspect coolant pump(s) for leaks and external wear (if belt driven, remove belt(s) first).",1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_104,Generator,,"Diesel fuel storage tank(s) : The fuel oil in any storage tank (and auxillary supply tank, if used) shall be tested in accordance with Clause 11.5.5, and if the fuel oil fails the test, it shall be",1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_105,Generator,,"Drained and refilled with fresh fuel in accordance with Article 6.5.1.5 of the National Fire Code of Canada; or full filtered to remove water, scale, bacteria, and oxidized gums/resins in order to minimize filter clogging and ensure diesel start-up (see Clause B.24 fir commentary).
When the fuel is filtered, it shall be treated with a suitable conditioner and stabilizer to minimize degradation while in storage.",1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_106,Generator,,Test surge suppressor and rotating rectifier on brushless machines.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_107,Generator,,Grease bearings (replace old grease with new) (if applicable).,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_108,Generator,,Clean commutator and slip rings (if applicable).,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_109,Generator,,Clean rotor and stator windings using clean compressed air.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_110,Generator,,Inspect coupling bolts and alignment.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_111,Generator,,Inspect conduits for tightness.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_112,Generator,,Inspect windings at rotor and stator slots.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_113,Generator,,Inspect all electrical connections.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_114,Generator,,"With the generator set operating at full load (see Clause 11.3), conduct an infrared survey of all electrical connections to identify any high-resistance connections.",1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_115,Generator,, Overcurrent protective devices:,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_116,Generator,,Electrically isolate all overcurrent protective devices.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_117,Generator,,Remove all dust.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_118,Generator,,Test devices for proper operation.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_119,Generator,,"While performing the full load test required by Clause 11.3, conduct an infrared survey of all electrical connections, contacts, and energized components.",1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_120,Generator,,Transfer switches,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_121,Generator,,"Isolate transfer switch, open all inspection covers, and inspect all electrical connections.",1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_122,Generator,,Operate all moving parts to ensure they move freely.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_123,Generator,,Clean and dress contacts as required.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_124,Generator,,Remove all dust.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_125,Generator,,Clean and lubricate linkages.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_126,Generator,,"Conduct an infrared survey of all electrical connections, contacts, and energized components while under load on both the normal and te emergency side.",1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_127,Generator,,"Lubricate door locks and hinges (if necessary), especially those of the outdoor enclosures.",1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_128,Generator,,Conduct a 2 hour full load test (see Clause 11.3).,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_129,Generator,,"As needed, review and provide instruction on the technical requirements specified the weekly, monthly and six monthly tables with the person(s) responsible for carrying out the work.",1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_130,Generator,,Correct all defects found during inspections and tests.,1,Year,,,,Contractor,,ASPOM decides,,,,,,,
activity_131,Generator,,"Record all inspections, tests, and corrective actions in the log (see Clause 11.5.3).",1,Year,,,,Contractor,,,,,,,,,
activity_132,Web Sling: Inspection Frequency Verification,,Determine if the inspection frequency needs to be increased to perform an inspection of the web sling for safe usage. ,1,Year,,Calibrate,"In addition to the inspection required at every 12 months, the plant should determine if the frequency of the inspection needs to be increased on the basis of, 
- frequency of sling use
-the severity of service condition
-nature of lifts being made
-experience gained on the service life of slings used in similar circumstances",APSOM,,No,,,,,,,
activity_133,Web Sling: Inspection For Safe Usage,,Perform an inspection of the web sling for safe usage.,1,,,Inspect," Web-sling should be removed from service and be discarded if the following conditions are found;
- Missing or illegible sling identification
- Acid or caustic burns
- Melting or charring of any part of the sling
- Holes, tears, cuts, or snags
- Broken or worn stitching in load-bearing splices
- Excessive wear or abrasion
- Knots in any part of the sling
- Discoloration and brittle or stiff areas on any part of the sling, which may indicate chemical or UV damage
- Fittings that are pitted, corroded, cracked, bent, twisted, gouged or broken
- For hooks, removal criteria as stated in ASME B30.10
- For rigging hardware, removal criteria as stated in ASME B30.26
- Other conditions, including visible damage, that cause doubt to the continued use of the sling 
[Note: The site should not perform any repair or fix for the damaged web-sling.] ",Contractor,,ASPOM decides,,,,"https://www.notion.so/OSHA-1910-184-Section-1910-184-d-ab378a867d1c432a82a6a393ab9c5fb9, https://www.notion.so/AMSE-B30-9-2018-Section-9-5-9-5-154709a8cf0848ae8c16a19844f9424b",,,
activity_134,Web Sling: Alloy Steel Chain Inspection,,Perform an inspection of the web sling alloy steel chain for safe usage.,1,Year,,Inspect,"A thorough periodic inspection of alloy steel chain slings in use shall be made on a regular basis, to be determined on the basis of :
(A) frequency of sling use; 
(B) the severity of service conditions; 
(C) nature of lifts being made; and 
(D) experience gained on the service life of slings used in similar circumstances. Such inspections shall in no event be at intervals greater than once every 12 months.",Ind Mill,,No,,,,,,,
activity_135,,,,,,,,,,,,,,,,,,
activity_136,Chain Sling: Inspection Frequency Verification,,Determine if the inspection frequency needs to be increased to perform an inspection of the chain sling for safe usage. ,1,Year,,Inspect,"In addition to the inspection required at every 12 months, the plant should determine if the frequency of the inspection needs to be increased on the basis of, 
- frequency of sling use
-the severity of service condition
-nature of lifts being made
-experience gained on the service life of slings used in similar circumstances",PT,,,,,,https://www.notion.so/OSHA-1910-184-Section-1910-184-e-3-i-41be326b2a734ca4abc7497f339890be,,,
activity_137,Chain Sling: Inspection For Safe Usage,,Perform inspection of the chain sling for safe usage. ,1,Year,,Inspect,"Inspect Chain Sling for below:
-Unreadable or missing operating control labels (Contact chain sling manufacturer for replacements of missing identification tags and nameplates.). 
- Check for Structural deformation
- Cracks in welds or structural members
- Check for Excessive wear
- Loose or missing parts, tags, safety guards, fasteners, stops, and/or housings.
- Out of adjustment conditions that interfere with the normal operation and functionality of all mechanisms including automatic hold and release components.
",Contractor,,,,,,https://www.notion.so/OSHA-1910-184-Section-1910-184-d-ab378a867d1c432a82a6a393ab9c5fb9,,,
activity_138,Wire Rope Sling: Inspection Frequency Verification,,Determine if the frequency needs to be increased to perform an inspection of the Wire rope sling for safe usage,1,Year,,,"In addition to the inspection required at every 12 months, the plant should determine if the frequency of the inspection needs to be increased on the basis of, 
- frequency of sling use
-the severity of service condition
-nature of lifts being made
-experience gained on the service life of slings used in similar circumstances",APSOM,,No,,,,https://www.notion.so/OSHA-1910-184-Section-1910-184-e-3-i-I-e0e3d7703893420ebaee5704dbf49d3b,,,
activity_139,Wire Rope Sling: Inspection For Safe Usage,,Perform inspection of the Wire Rope Sling.,1,Year,,Inspect,"Wire Rope sling should be removed from service and be discarded if the following conditions are found:
1. Missing or illegible sling identification. If the tag is missing or illegible, the inspector should remove the sling from service and send it to the manufacturer for current or updated certification, tagging, and testing.
2. Broken Wires: For strand-laid grommets and single-part slings, ten randomly distributed broken wires in one rope lay, or five broken wires in one strand in one rope lay. For cable laid, cable laid grommets and multi-part slings, use the following:
How to Inspect Wire Rope Slings According to ASME B30.9 Standards: Broken Wires Chart
3. Distortion: Kinking, crushing, birdcaging or other damage which distorts the rope structure. The main thing to look for is wires or strands that are pushed out of their original positions in the rope.
4. Heat Damage: Any metallic discoloration, fusing of wires or loss of internal lubricant caused by exposure to heat.
5. Damaged End Attachments: Cracked, bent or broken end fittings caused by abuse, wear or damage.
6. Bent Hooks: No more than 5 percent over the normal throat openings, measured at the narrowest point from the plane of the unbent hook (see ASME B30.10 Hooks).
7. Corrosion: Severe corrosion of the rope or end attachments which has caused pitting or binding of wires should be cause for replacing the sling. Light surface rust does not substantially affect strength of a sling.
8. Pulled Eye Splices: Any evidence that eye splices have slipped, tucked strands have moved or pressed sleeves show serious damage may be sufficient cause to reject a sling.
9. Unbalance: A very common cause of damage is the kink which results from pulling through a loop while using a sling, thus causing wires and strands to be deformed and pushed out of their original position. This unbalances the sling, reducing its strength.
10. Kinks: Are tightened loops with permanent strand distortion that result from improper handling when a rope is being installed or while in service. A kink happens when a loop is permitted to form and then is pulled down tight, causing permanent distortion of the strands. The damage is irreparable and the sling must be taken out of service.
11. Doglegs: Are permanent bends caused by improper use or handling. If the dogleg is severe, the sling must be removed from service. If the dogleg is minor, (exhibiting no strand distortion) and cannot be observed when the sling is under tension, the area of the minor dogleg should be marked for observation and the sling can remain in service.",Contractor,,ASPOM decides,,,,https://www.notion.so/Section-ed4c1d5af3bf423b92c3935fd9e38323,,,
activity_140,Chain Sling (alloy steel chain sling): Inspection Frequency Verification,,Perform inspection of the chain sling ( alloy steel chain sling) for safe usage. ,1,Year,,Inspect,"In addition to the inspection of complete wire rope sling, a thorough periodic inspection of alloy steel chain slings in use shall be made on a regular basis, to be determined on the basis of 
(A) frequency of sling use; 
(B) the severity of service conditions; 
(C) nature of lifts being made; and 
(D) experience gained on the service life of slings used in similar circumstances. Such inspections shall in no event be at intervals greater than once every 12 months.
",APSOM,,ASPOM decides,,,,,,,
activity_141,Wire Rope Sling (alloy steel chain sling): Inspection Frequency Verification,,Perform inspection of the Wire Rope Sling (alloy steel chain sling).,1,Year,,Inspect,"In addition to the inspection of complete wire rope sling, a thorough periodic inspection of alloy steel chain slings in use shall be made on a regular basis, to be determined on the basis of 
(A) frequency of sling use; 
(B) the severity of service conditions; 
(C) nature of lifts being made; and 
(D) experience gained on the service life of slings used in similar circumstances. Such inspections shall in no event be at intervals greater than once every 12 months.",APSOM,,ASPOM decides,,,,,,,
activity_142,Wire Mesh Sling: Inspection Frequency Verification,,Determine if the frequency needs to be increased to perform an inspection of the wire mesh sling for safe usage.,1,Year,,,"In addition to the inspection required at every 12 months, the plant should determine if the frequency of the inspection needs to be increased on the basis of, 
- frequency of sling use
-the severity of service condition
-nature of lifts being made
-experience gained on the service life of slings used in similar circumstances",APSOM,,No,,,,,,,
